,prob_s,comp_factor,Intervention strategy,name,q_y,q_a,q_o,q_ya,q_ao,q_yo,color,R0,si_eff
120,1,0.2,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.840000000000003,0.19999999999999996
121,1,0.2,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.768389287592864,0.19999999999999996
122,1,0.2,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.6317543432655546,0.19999999999999996
123,1,0.2,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.2692654292658774,0.19999999999999996
124,1,0.2,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.9344441282977909,0.19999999999999996
125,1,0.2,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.7649235351887538,0.19999999999999996
126,1,0.21,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.8170000000000033,0.20999999999999996
127,1,0.21,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.7462844214979552,0.20999999999999996
128,1,0.21,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.6113574139747333,0.20999999999999996
129,1,0.21,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.2533996114000563,0.20999999999999996
130,1,0.21,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.9227635766940687,0.20999999999999996
131,1,0.21,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.742861990998893,0.20999999999999996
132,1,0.22,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.7940000000000036,0.21999999999999997
133,1,0.22,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.7241795554030455,0.21999999999999997
134,1,0.22,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.5909604846839138,0.21999999999999997
135,1,0.22,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.2375337935342312,0.21999999999999997
136,1,0.22,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.9110830250903469,0.21999999999999997
137,1,0.22,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.7208004468090343,0.21999999999999997
138,1,0.23,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.7710000000000066,0.22999999999999998
139,1,0.23,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.7020746893081329,0.22999999999999998
140,1,0.23,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.5705635553930952,0.22999999999999998
141,1,0.23,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.221667975668408,0.22999999999999998
142,1,0.23,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.8994024734866245,0.22999999999999998
143,1,0.23,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.6987389026191755,0.22999999999999998
144,1,0.24,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.7480000000000047,0.24
145,1,0.24,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.679969823213222,0.24
146,1,0.24,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.5501666261022748,0.24
147,1,0.24,3,SI; 0-24 and 60+ SD,0.7,0.0,0.5,0.2,0.7,0.9,#285C9F,1.2058021578025837,0.24
148,1,0.24,4,"SI; 0-24, 25-59 and 60+ SD",0.7,0.5,0.5,0.2,0.7,0.9,#04375E,0.8877219218829018,0.24
149,1,0.24,5,SI and no 60+ contacts,0.0,0.0,1.0,0.0,1.0,1.0,#770000,1.6766773584293162,0.24
150,1,0.25,0,Self-isolation (SI),0.0,0.0,0.0,0.0,0.0,0.0,#8C9EDE,1.725000000000003,0.25
151,1,0.25,1,SI and 60+ social distancing (SD),0.0,0.0,0.5,0.0,0.7,0.9,#65C8D0,1.6578649571183102,0.25
152,1,0.25,2,SI; 25-59 and 60+ SD,0.0,0.5,0.5,0.0,0.7,0.9,#00767B,1.5297696968114554,0.25
